Alt,ApH,PeH,THR,TWR
74100.16,151406.8,-538109.2,0.33511,5.96871
75074,154168.1,-536996.2,0.33252,6.01566
76055.13,156974.3,-535873.8,0.32989,6.0636
77043.57,159826.1,-534742,0.32728,6.11193
78039.29,162724.3,-533600.8,0.32469,6.16067
79022.58,165611.7,-532473,0.32212,6.20981
80032.76,168604.5,-531313.6,0.31957,6.25936
81050.25,171646.4,-530144.9,0.31709,6.30833
82075.03,174738.3,-528967.2,0.31458,6.35869
83107.1,177881.1,-527780.3,0.31209,6.40947
84146.48,181075.8,-526584.5,0.30961,6.46066
85172.55,184259.2,-525403.4,0.30716,6.51227
86226.36,187559.5,-524189.9,0.30473,6.56431
87287.47,190914.7,-522967.6,0.30233,6.61574
88355.87,194325.9,-521736.5,0.29996,6.66862
89431.55,197794,-520496.8,0.29758,6.72193
